date,time,day,team,opponent,gf,ga,xg,xga,venue,result,season
2024-08-16,19:00:00,Friday,Manchester United,Fulham,1,0,2.04268,0.418711,home,W,2024
2024-08-16,19:00:00,Friday,Fulham,Manchester United,0,1,0.418711,2.04268,away,L,2024
2024-08-17,11:30:00,Saturday,Ipswich,Liverpool,0,2,0.342601,3.92906,home,L,2024
2024-08-17,11:30:00,Saturday,Liverpool,Ipswich,2,0,3.92906,0.342601,away,W,2024
2024-08-17,14:00:00,Saturday,Arsenal,Wolverhampton Wanderers,2,0,1.6283,0.575835,home,W,2024
2024-08-17,14:00:00,Saturday,Wolverhampton Wanderers,Arsenal,0,2,0.575835,1.6283,away,L,2024
2024-08-17,14:00:00,Saturday,Everton,Brighton,0,3,0.405325,1.79083,home,L,2024
2024-08-17,14:00:00,Saturday,Brighton,Everton,3,0,1.79083,0.405325,away,W,2024
2024-08-17,14:00:00,Saturday,Newcastle United,Southampton,1,0,0.433489,1.95483,home,W,2024
2024-08-17,14:00:00,Saturday,Southampton,Newcastle United,0,1,1.95483,0.433489,away,L,2024
2024-08-17,14:00:00,Saturday,Nottingham Forest,Bournemouth,1,1,1.24405,1.90915,home,D,2024
2024-08-17,14:00:00,Saturday,Bournemouth,Nottingham Forest,1,1,1.90915,1.24405,away,D,2024
2024-08-17,16:30:00,Saturday,West Ham,Aston Villa,1,2,2.8047,2.6703,home,L,2024
2024-08-17,16:30:00,Saturday,Aston Villa,West Ham,2,1,2.6703,2.8047,away,W,2024
2024-08-18,13:00:00,Sunday,Brentford,Crystal Palace,2,1,1.38064,1.14757,home,W,2024
2024-08-18,13:00:00,Sunday,Crystal Palace,Brentford,1,2,1.14757,1.38064,away,L,2024
2024-08-18,15:30:00,Sunday,Chelsea,Manchester City,0,2,1.06123,1.18038,home,L,2024
2024-08-18,15:30:00,Sunday,Manchester City,Chelsea,2,0,1.18038,1.06123,away,W,2024
2024-08-19,19:00:00,Monday,Leicester,Tottenham,1,1,1.02614,1.40775,home,D,2024
2024-08-19,19:00:00,Monday,Tottenham,Leicester,1,1,1.40775,1.02614,away,D,2024
2024-08-24,11:30:00,Saturday,Brighton,Manchester United,2,1,2.14153,1.28556,home,W,2024
2024-08-24,11:30:00,Saturday,Manchester United,Brighton,1,2,1.28556,2.14153,away,L,2024
2024-08-24,14:00:00,Saturday,Crystal Palace,West Ham,0,2,1.3761,1.53421,home,L,2024
2024-08-24,14:00:00,Saturday,West Ham,Crystal Palace,2,0,1.53421,1.3761,away,W,2024
2024-08-24,14:00:00,Saturday,Fulham,Leicester,2,1,1.96218,0.857005,home,W,2024
2024-08-24,14:00:00,Saturday,Leicester,Fulham,1,2,0.857005,1.96218,away,L,2024
2024-08-24,14:00:00,Saturday,Manchester City,Ipswich,4,1,3.07818,0.479999,home,W,2024
2024-08-24,14:00:00,Saturday,Ipswich,Manchester City,1,4,0.479999,3.07818,away,L,2024
2024-08-24,14:00:00,Saturday,Southampton,Nottingham Forest,0,1,0.214952,2.86475,home,L,2024
2024-08-24,14:00:00,Saturday,Nottingham Forest,Southampton,1,0,2.86475,0.214952,away,W,2024
2024-08-24,14:00:00,Saturday,Tottenham,Everton,4,0,2.61143,0.648869,home,W,2024
2024-08-24,14:00:00,Saturday,Everton,Tottenham,0,4,0.648869,2.61143,away,L,2024
